name1,name2,street1,street2,city,state,zip,phone,intake1,intake2,intake1a,intake2a,service_code_info
Eastside CMHC,,129 East Park Circle,,Birmingham,Alabama,35235,205-836-7283,,,,,MH * OP PHDT * CMHC * HALOP ARIPI CLOZA OLANZ RISPE ANTPYCH * CFT GT IPT TELE * CIT * PVTN * CLF CMHG MC MD OSF PI SF SI SMHA * SS * TAY SE CO SED SMI * STU * TBS * PEER * TCC * ADLT CHLD SNR YAD * AH * VPPD * ACT COOT FPSY IMR PRS
Glenwood Inc,Main Campus,150 Glenwood Lane,,Birmingham,Alabama,35242,205-969-2880,,,,,MH SUMH * OP PHDT RES * MSMH * CHLOR FLUPH HALOP LOXAP ARIPI OLANZ QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IDD IPT TELE * PEON * PVTN * MC MD MI OSF PI SEF SF SI SMHA SWFS * SS * TAY TRMA SED * MST LABT * SMON * ADLT CHLD SNR YAD * AH * VAPN * DEC FPSY PRS SEMP VRS ES
Princeton Baptist Medical Center,,701 Princeton Avenue SW,,Birmingham,Alabama,35211,205-783-3650,,,,,MH * HI * IPSY * HALOP CLOZA LURAS OLANZ RISPE ZIPRA NRT NSC ANTPYCH * AT CBT GT IPT TELE * WI * PVTP * CLF CMHG CSBG ITU MC MD MI OSF PI SF SI SMHA VAF * SE ALZ * STU * MST LABT * TCC * SMON * SNR * AH * VAPN * CDM COOT DEC FPSY ICM IMR PRS CM IPC SPS ES
Rehabilitation Day Program,Jasper House,2112 Avenue,Suite H,Birmingham,Alabama,35218,205-324-9822,,,,,MH SUMH * RES * RTCA * HALOP CLOZA OLANZ QUETI RISPE ANTPYCH * AT CBT GT * CIT * PVTN * MC MD SF * HV SMI * STDT TBS * TCC * ADLT SNR YAD * AH * VPPD * PRS SH CM
UAB Hospital,Center for Psychiatric Medicine,619 19th Street South,,Birmingham,Alabama,35249,205-975-2710,205-934-7008,,,,SA MH SUMH * HI OP * PSY * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ PROCH TRIFL ARIPI ASENA CLOZA LURAS OLANZ PALIP QUETI NRT NSC ANTPYCH * AT CBT CFT ECT EMDR GT IDD IPT TELE AIM * CIT PEON WI * PVTN * CLF CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS * TAY SE GL CO TRMA ALZ PED PTSD SED SMI * STU * HIVT STDT TBS MST HBT HCT LABT * PEER * TCC * ADLT CHLD SNR YAD * AH SP * VPPD * ACT CDM COOT DEC FPSY ICM IMR PRS SEMP CM IPC SPS
West Alabama Mental Health Center,Choctaw County Office,401 Rogers Street,,Butler,Alabama,36904,205-459-2612,800-239-2901,334-289-2410,,,SA MH SUMH * OP * CMHC * FLUPH HALOP PERPH ARIPI ASENA BREXP CLOZA OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IDD IPT TELE AIM * CIT WI * PVTN * CLF CMHG CSBG ITU MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF * PA SS * CO SMI * HS * SMON * ADLT CHLD SNR YAD * AH * VAPN * COOT FPSY ICM SEMP SH CM SPS
Hamilton Center,,151 Hamilton Lane,,Calera,Alabama,35040,205-651-0077,,,,,SA MH SUMH * OP PHDT * CMHC * CBT CFT DBT GT IDD IPT TELE * PVTN * CLF CMHG MC MD PI SF SI SMHA SWFS * SS * SED SMI * STU * PEER * ADLT SNR YAD * AH * VPPD * COOT FPSY IMR SEMP SH CM
Cherokee Etowah Dekalb CMHC,Cherokee County Office,200 Dean Buttram Senior Avenue,,Centre,Alabama,35960,256-927-3601,,,,,SA MH SUMH * OP * CMHC * CHLOR ARIPI ASENA BREXP CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * CIT PEON WI * PVTN * FQHC * CLF CMHG FG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF * SS * CO SED SMI * STU * TBS * PEER * TCC * ADLT CHLD SNR YAD * AH * VPPD * COOT FPSY ICM CM SPS
Cherokee Etowah Dekalb CMHC,White/Parker Home Specialized,901 Edith Street,,Centre,Alabama,35960,256-927-2687,,,,,SA MH SUMH * RES * RTCA * ARIPI ASENA BREXP CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * CIT PEON * PVTN * CMHG MC MD MI OSF PI SF SI SMHA VAF * CO SMI * STU * TBS * HS * TCC * ADLT SNR YAD * AH * VPPD * COOT DEC FPSY PRS VRS CM SPS ES
Childersburg VA Clinic,,151 9th Avenue NW,,Childersburg,Alabama,35044,256-378-9026,,,,,SA MH SUMH * OP * VAHC * FLUPH HALOP ARIPI CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NSC ANTPYCH * CBT CFT GT IPT TELE * CIT WI * FED VAMC * MC MI PI VAF * VET PTSD * STU * SMON * ADLT SNR YAD * AH * VAPN * ACT DEC FPSY ICM IMR SEMP SH VRS CM SPS
Clanton MI Outpatient,,110 Medical Center Drive,,Clanton,Alabama,35045,205-651-0077,,,,,SA MH SUMH * OP RES * CMHC * FLUPH HALOP ARIPI CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * CIT WI * PVTN * CLF CMHG CSBG MC MD OSF PI SCJJ SEF SF SI SMHA SWFS * SS * SED SMI * STU * PEER * ADLT CHLD SNR YAD * AH * VPPD * COOT FPSY IMR PRS SEMP CM
WellStone Inc,,1909 Commerce Avenue NW,,Cullman,Alabama,35055,256-734-4688,256-255-1020,,,,SA MH SUMH * OP PHDT * CMHC * FLUPH HALOP ARIPI BREXP CLOZA OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * CBT GT IDD IPT TELE AIM * CIT PEOFF * LCCG * CLF CMHG CSBG MC MD MI PI SCJJ SEF SF SI SMHA SWFS * PA SS * SED SMI * STU * HS PEER * ADLT CHLD SNR YAD * AH * VPPD * COOT FPSY ICM PRS SH CM SPS
Health Connect America,,801 Church Street NE ,Suite 6,Decatur,Alabama,35601,256-274-8222,,,,,SA MH SUMH * OP * OMH * CBT CFT GT IDD IPT TELE * CIT PEON PEOFF * PVTP * MD PI SF SWFS * SS * CO * ADLT CHLD SNR YAD * AH * VPPD * FPSY SPS
MHCNCA Inc,Decatur/Morgan Counseling Center,4110 U.S. Highway 31 South,,Decatur,Alabama,35603,256-260-1691,800-365-6008,256-355-5904,,,MH SUMH * OP PHDT * CMHC * CHLOR FLUPH HALOP LOXAP PERPH ARIPI ASENA CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ANTPYCH * CBT CFT GT IPT TELE AIM * CIT PEON * PVTN * CLF CMHG CSBG MC MD OSF PI SF SI SMHA * CO SMI * STU * ADLT SNR YAD * AH * VPPD * ACT COOT FPSY CM
MHCNCA Inc,The Albany Clinic for Children,1315 13th Avenue SE,,Decatur,Alabama,35601,256-260-7306,256-355-5904,800-365-6008,,,MH SUMH * OP PHDT * CMHC * CHLOR HALOP ARIPI QUETI RISPE ANTPYCH * CBT CFT GT IPT TELE AIM * PEON * PVTN * CLF CMHG CSBG MD OSF PI SCJJ SF SI SMHA SWFS * SED * STU * PEER * SMON * CHLD * AH * VAPN * COOT FPSY CM
West Alabama Mental Health Center,,1215 South Walnut Avenue,,Demopolis,Alabama,36732,334-289-2410,800-239-2901,,,,SA MH SUMH * OP * CMHC * FLUPH HALOP PERPH ARIPI ASENA BREXP CLOZA OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IDD IPT TELE AIM * CIT WI * PVTN * CLF CMHG CSBG FG MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF * PA SS * CO SMI * HS * SMON * ADLT CHLD SNR YAD * AH * VAPN * COOT FPSY ICM SEMP SH CM SPS
West Alabama Mental Health Center,,1401 U.S. Highway 80 East,,Demopolis,Alabama,36732,334-217-0010,800-239-2901,334-289-2410,,,SA MH * OP PHDT * RTCA * FLUPH HALOP PERPH ARIPI ASENA BREXP CLOZA OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * CBT GT IPT TELE * PVTN * CLF CMHG CSBG FG ITU MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF * PA SS * SMI * PEER * SMON * ADLT SNR YAD * AH * VAPN * COOT ICM PRS SEMP SH CM SPS
West Alabama Mental Health Center,Springhill Home,1304 Old Springhill Road,,Demopolis,Alabama,36732,334-289-3270,800-239-2901,334-289-2410,,,MH * RES * RTCA * FLUPH HALOP PERPH ARIPI ASENA BREXP CLOZA OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT GT IDD IPT TELE AIM * PVTN * CLF CMHG CSBG FG ITU MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF * PA SS * SMI * HS PEER * SMON * ADLT SNR YAD * AH * VAPN * COOT ICM PRS SEMP SH CM SPS
Whitfield Regional Hospital IPF,Gerpsych/Adult Psych,105 Highway 80 East,,Demopolis,Alabama,36732,334-287-2507,,,,,MH SUMH * HI OP RES * IPSY * CHLOR DROPE FLUPH HALOP LOXAP PERPH ARIPI BREXP CARIP LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CRT GT IDD AIM * PEON * STG * FQHC * ITU MC MD MI PI SF SI SMHA VAF * SS * SE GL VET MF CJ CO HV TRMA TBI ALZ PED PEFP PTSD SMI * STU * HIVT STDT TBS MST HBT HCT LABT * HS * TCC * SMON * ADLT SNR YAD * VAPN * AOT CDM COOT DEC ICM IMR PRS CM IPC SPS ES
Central Alabama VA Healthcare System,Dothan Mental Health Clinic,3753 Ross Clark Circle,Suite 4,Dothan,Alabama,36303,334-503-7819 x47801,,334-503-7881 x47802,,,SA MH SUMH * OP * VAHC * CHLOR FLUPH LOXAP PERPH PIMOZ PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE * WI * FED VAMC * FQHC * MI PI SF VAF * SE GL VET CJ CO HV DV TRMA TBI PEFP PTSD SMI * STU * HIVT STDT TBS MST HBT HCT LABT * PEER * TCC * SMON * ADLT SNR YAD * AH * VAPN * CDM DEC FPSY IMR LAD PRS VRS SPS ES
Laurel Oaks Behavioral Health Center,,700 East Cottonwood Road,,Dothan,Alabama,36301,334-794-7373 x237,334-794-7373 x1,866-320-3613,,,MH SUMH * HI RES * PSY * CHLOR HALOP PIMOZ ARIPI ASENA BREXP CARIP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT DBT GT IDD IPT * PEON WI * PVTP * CLF MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF * TAY MF TRMA PEFP PTSD SED * LABT * HS * SMON * CHLD * AH SP NX FX * F4 F17 F19 F25 F28 F30 F31 F35 F36 F37 F42 F43 F47 F66 F67 F70 F81 F92 N24 N40 * VAPN * CDM FPSY ICM PRS CM IPC SPS ES
Southeast Alabama Medical Center,Behavioral Medicine Center,1108 Ross Clark Circle,Suite 702,Dothan,Alabama,36301,334-793-8111 x5482,334-793-8800,,,,SA MH * HI OP * IPSY * NSC ANTPYCH * AT DBT GT IPT * PVTN * MC MD MI PI SCJJ SF SI VAF * TAY SE GL VET ADM MF CJ CO HV TRMA ALZ PED PTSD SMI * STU * SMON * ADLT SNR YAD * VAPN * COOT CM ES
SpectraCare,Intermediate Care Home,140 Prevatt Road,,Dothan,Alabama,36301,334-793-4020,334-794-0731,,,,MH * PHDT RES * CMHC * CHLOR FLUPH HALOP LOXAP PERPH PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * CBT GT IPT TELE * PEON * PVTN * CMHG MC MD PI SF * SE VET ALZ SMI * ADLT SNR YAD * AH * VPPD * CDM DEC FPSY IMR
SpectraCare Health Systems,Adult Outpatient Program,1672 Columbia Highway,,Dothan,Alabama,36302,800-951-4357,,,,,SA MH SUMH * OP * CMHC * CHLOR FLUPH HALOP LOXAP PERPH PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IDD IPT TELE * CIT PEON WI * PVTN * CLF CMHG MC MD MI OSF PI SF SMHA SWFS VAF * SS * SE VET ADM MF CJ CO TRMA PED PTSD SMI * STU * PEER * ADLT SNR YAD * AH * VPPD * ACT COOT FPSY ICM PRS SH CM SPS
SpectraCare Health Systems,Houston County Day Treatment,134 Prevatt Road,,Dothan,Alabama,36303,800-951-4357,,,,,MH SUMH * OP * CMHC * CHLOR FLUPH HALOP LOXAP PERPH PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * PEON PEOFF * PVTN * CLF CMHG MC MD MI OSF PI SF SMHA * SS * CO SMI * ADLT SNR YAD * AH * VPPD * ACT FPSY PRS CM ES
South Central Alabama CMHC,Coffee County Mental Health Clinic,2861 Neal Metcalf Road,,Enterprise,Alabama,36330,334-347-0212,,,,,MH SUMH * OP PHDT * CMHC * FLUPH HALOP LOXAP PERPH ARIPI ASENA BREXP CARIP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IPT TELE AIM * CIT PEON PEOFF WI * PVTN * CMHG MC MD MI PI SF SMHA SWFS VAF * PA SS * SE SED SMI * TBS MST LABT * SMOP * ADLT CHLD SNR YAD * AH * VAPP * COOT FPSY PRS SH CM SPS
SpectraCare Health Systems,Barbour County Clinic,133 North Orange Avenue,,Eufaula,Alabama,36027,800-951-4357,,,,,SA MH SUMH * OP * CMHC * CHLOR FLUPH HALOP LOXAP PERPH PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT GT IDD IPT TELE * WI * PVTN * CLF CMHG MC MD MI OSF PI SCJJ SF SMHA SWFS * SS * TAY SE GL VET ADM MF CJ CO HV ALZ PTSD SED SMI * STU * TCC * ADLT CHLD SNR YAD * AH * VPPD * ACT COOT DEC FPSY ICM IMR PRS SH CM SPS ES
West Alabama Mental Health Center,Greene County Office,301 Prairie Avenue,,Eutaw,Alabama,35462,205-372-3106,800-239-2901,334-289-2410,,,SA MH SUMH * OP * CMHC * FLUPH HALOP PERPH ARIPI ASENA BREXP CLOZA OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IDD IPT TELE AIM * CIT * PVTN * CLF CMHG CSBG ITU MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF * PA SS * CO SMI * HS * SMON * ADLT CHLD SNR YAD * AH * VAPN * COOT FPSY ICM SEMP SH CM SPS
Health Connect America,,115 Fairground Road,,Florence,Alabama,35630,256-712-2822,,,,,SA MH * OP * OMH * AT CBT GT IDD IPT * PVTP * CLF MD OSF PI SF * TAY * STU * TBS * PEER * TCC * ADLT CHLD SNR YAD * AH * VPPD * COOT FPSY TPC CM SPS ES
Southern Wellness Services Inc,,2618 Hough Road,,Florence,Alabama,35630,256-284-7080,,,,,SA MH SUMH * OP * OMH * CBT DBT IPT * PVTP * FQHC * MD PI SF * ADLT CHLD SNR YAD * VPPD
Cherokee Etowah Dekalb CMHC,Dekalb County Office,301 14th Street NW,,Fort Payne,Alabama,35967,256-845-4571,,,,,SA MH SUMH * OP * CMHC * ARIPI ASENA BREXP CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT DBT GT IDD IPT TELE * CIT PEON WI * PVTN * CLF CMHG FG MC MD MI PI SCJJ SEF SF SI SMHA SWFS VAF * SS * CO SED SMI * ADLT CHLD SNR YAD * AH * VPPD * COOT FPSY ICM SEMP CM SPS
Health Connect America,,501 Greenhill Boulevard ,Suite 155,Fort Payne,Alabama,35967,256-410-2750,,,,,SA MH SUMH * OP * OMH * CBT CFT GT IDD IPT TELE * CIT PEON PEOFF * PVTP * MD PI SF SWFS * SS * CO * ADLT CHLD SNR YAD * AH * VPPD * FPSY SPS
Cherokee Etowah Dekalb CMHC,Etowah County Office,1425 Rainbow Drive,,Gadsden,Alabama,35901,256-492-7800,,,,,SA MH SUMH * OP PHDT * CMHC * ARIPI ASENA BREXP CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * CIT PEON WI * PVTN * FQHC * CMHG FG MC MD MI PI SCJJ SEF SF SI SMHA SWFS VAF * SS * CO SED SMI * STU * TBS * HS PEER * TCC * ADLT CHLD SNR YAD * AH * VPPD * ACT COOT FPSY ICM SH CM SPS ES
Frantz Therapeutic Residential Home,Frantz Home,1038 McDuffie Street,,Gadsden,Alabama,35901,256-543-2883,,,,,SA MH SUMH * RES * RTCA * ARIPI ASENA BREXP CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT DBT GT IPT TELE * CIT PEON * PVTN * CMHG MC MD MI PI SF SI SMHA VAF * CJ CO SMI * STU * TBS * PEER * TCC * ADLT SNR YAD * AH * VPPD * COOT DEC FPSY CM SPS
Riverview Regional Medical Center,Senior Heights,600 South 3rd Street,,Gadsden,Alabama,35901,256-543-5200,256-543-5721,256-543-5200 x5641,,,MH * HI * IPSY * CHLOR FLUPH HALOP PERPH ARIPI CLOZA OLANZ QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT GT IPT AIM * PEON * PVTP * MC MD MI PI SF VAF * SE GL VET MF DV ALZ PEFP PTSD * STU * HIVT STDT TBS MST HCT LABT * TCC * SMON * SNR * AH * VAPN * CDM DEC ICM CM IPC SPS
SpectraCare Health Systems,Geneva County Clinic,1203 West Maple Avenue,,Geneva,Alabama,36340,800-951-4357,,,,,SA MH SUMH * OP * CMHC * CHLOR FLUPH HALOP LOXAP PERPH PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT GT IDD IPT TELE * CIT PEON WI * PVTN * CLF CMHG MC MD MI PI SF SI SMHA * SS * TAY SE GL VET ADM MF CJ CO HV TRMA PTSD SED SMI * STU * TCC * ADLT CHLD SNR YAD * AH * VPPD * ACT COOT DEC FPSY ICM IMR PRS SH CM SPS ES
West Alabama Mental Health Center,Hale County Office,401 1st Street,,Greensboro,Alabama,36744,334-624-4905,800-239-2901,334-289-2410,,,SA MH SUMH * OP * CMHC * FLUPH HALOP PERPH ARIPI ASENA BREXP CLOZA OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IDD IPT TELE * CIT WI * PVTN * CLF CMHG CSBG FG ITU MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF * PA SS * CO SMI * HS * SMON * ADLT CHLD SNR YAD * AH * VAPN * COOT FPSY ICM IMR SEMP SH CM SPS
South Central Alabama CMHC,Butler County MH Center,185 Industrial Parkway,,Greenville,Alabama,36037,334-382-2018,,,,,MH SUMH * OP PHDT * CMHC * FLUPH HALOP LOXAP PERPH ARIPI ASENA BREXP CARIP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IPT TELE AIM * CIT PEON PEOFF WI * PVTN * MC MD MI PI SF SMHA SWFS VAF * PA SS * SE SED SMI * TBS MST LABT * SMOP * ADLT CHLD SNR YAD * AH * VAPP * COOT FPSY PRS SH CM SPS
South Central Alabama MHC,Behavioral Group Home,674 Hardscramble Road,,Greenville,Alabama,36037,334-382-1645,,,,,MH SUMH * RES * RTCA * CHLOR FLUPH HALOP LOXAP PERPH ARIPI ASENA BREXP CARIP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IPT AIM * PVTN * MD SF * PA SS * SMI * TBS MST LABT * SMOP * ADLT SNR YAD * AH * VAPP * COOT FPSY PRS SPS
Southern Oaks,Grove Hill Memorial Hospital,295 South Jackson Street,,Grove Hill,Alabama,36451,251-275-4922,,251-275-4035,,,MH SUMH * HI * IPSY * FLUPH HALOP ARIPI OLANZ QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT GT TELE AIM * PEON * PVTN * MC MD MI OSF PI SF SI VAF * SE ALZ * STU * TBS MST LABT * TCC * SMON * ADLT SNR * AH * VAPN * COOT FPSY CM
Guntersville CBOC,,100 Judy Smith Drive,,Guntersville,Alabama,35976,256-582-4033,,,,,SA MH SUMH * OP * VAHC * FLUPH HALOP ARIPI CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NSC ANTPYCH * CBT CFT GT IPT TELE * CIT WI * FED VAMC * MC MI PI VAF * VET PTSD * STU * SMON * ADLT SNR YAD * AH * VAPN * DEC FPSY SEMP SH VRS CM SPS
Marshall Medical Centers North,Behavioral Health Unit,8000 Alabama Highway 69,,Guntersville,Alabama,35976,256-571-8722,,256-571-8102,,,MH SUMH * HI * IPSY * HALOP PROCH TRIFL ARIPI CLOZA OLANZF RISPE NRT ANTPYCH * AT CBT CFT GT IDD IPT AIM * CIT PEON WI * PVTN * CLF MC MD MI OSF PI SCJJ SF SI SMHA VAF * SE CO SMI * STU * HS * TCC * SMON * ADLT YAD * AH SP * VAPN * COOT DEC FPSY IMR LAD PRS SH CM IPC SPS ES
