,Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag
39,"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3 (Oct 28 � Dec 21),19,"Nov 11 - Nov 23, 2020",2020-11-23,2020-11-23,6.9,4.5,10.1,4.5 - 10.1,6.1-8.5,
40,"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3 (Oct 28 � Dec 21),20,"Nov 25 - Dec 7, 2020",2020-12-07,2020-12-07,8.0,5.4,11.4,5.4 - 11.4,4.4-8.4,
41,"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3 (Oct 28 � Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-21,2020-12-21,9.6,6.9,13.0,6.9 - 13.0,8.6-9.7,
42,"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3 (Jan 6 � Mar 29),22,"Jan 6 - Jan 18, 2021",2021-01-18,2021-01-18,8.4,5.5,12.1,5.5 - 12.1,5.0-8.4,
43,"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3 (Jan 6 � Mar 29),23,"Jan 20 - Feb 1, 2021",2021-02-01,2021-02-01,9.1,6.6,12.2,6.6 - 12.2,8.7-9.9,
44,"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3 (Jan 6 � Mar 29),24,"Feb 3 - Feb 15, 2021",2021-02-15,2021-02-15,8.1,5.4,11.6,5.4 - 11.6,6.2-8.1,
45,"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3 (Jan 6 � Mar 29),25,"Feb 17 - Mar 1, 2021",2021-03-01,2021-03-01,8.9,5.3,13.7,5.3 - 13.7,8.9-10.7,
46,"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3 (Jan 6 � Mar 29),26,"Mar 3 - Mar 15, 2021",2021-03-15,2021-03-15,9.2,6.6,12.5,6.6 - 12.5,9.0-10.2,
47,"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3 (Jan 6 � Mar 29),27,"Mar 17 - Mar 29, 2021",2021-03-29,2021-03-29,9.6,6.4,13.7,6.4 - 13.7,8.7-10.4,
48,"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3.1,28,"Apr 14 - Apr 26, 2021",2021-04-26,2021-04-26,7.7,5.0,11.1,5.0 - 11.1,5.7-8.2,
49,"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3.1,29,"Apr 28 - May 10, 2021",2021-05-10,2021-05-10,9.6,6.3,13.9,6.3 - 13.9,9.0-9.8,
50,"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3.1,30,"May 12 - May 24, 2021",2021-05-24,2021-05-24,7.7,5.2,10.9,5.2 - 10.9,5.2-8.1,
51,"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3.1,31,"May 26 - Jun 7, 2021",2021-06-07,2021-06-07,7.5,5.2,10.4,5.2 - 10.4,4.6-8.6,
52,"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-21,2021-06-21,9.0,5.1,14.4,5.1 - 14.4,8.7-9.8,
53,"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3.1,33,"Jun 23 - Jul 5, 2021",2021-07-05,2021-07-05,11.7,8.5,15.6,8.5 - 15.6,10.4-12.4,
54,"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3.2,34,"Jul 21 - Aug 2, 2021",2021-08-02,2021-08-02,9.5,6.8,12.9,6.8 - 12.9,9.1-10.5,
55,"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3.2,35,"Aug 4 - Aug 16, 2021",2021-08-16,2021-08-16,7.0,4.9,9.7,4.9 - 9.7,<=8.5,
56,"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3.2,36,"Aug 18 - Aug 30, 2021",2021-08-30,2021-08-30,9.9,6.6,14.1,6.6 - 14.1,9.0-9.9,
57,"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3.2,37,"Sep 1 - Sep 13, 2021",2021-09-13,2021-09-13,6.2,4.3,8.7,4.3 - 8.7,5.4-8.8,
58,"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3.2,38,"Sep 15 - Sep 27, 2021",2021-09-27,2021-09-27,9.8,7.1,13.0,7.1 - 13.0,8.8-9.8,
59,"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3.2,39,"Sep 29 - Oct 11, 2021",2021-10-11,2021-10-11,11.2,6.9,16.9,6.9 - 16.9,10.6-12.2,
60,"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3.3,40,"Dec 1 - Dec 13, 2021",2021-12-13,2021-12-13,10.8,7.2,15.4,7.2 - 15.4,10.4-11.5,
61,"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3.3,41,"Dec 29, 2021 - Jan 10, 2022",2022-01-10,2022-01-10,8.0,5.6,11.1,5.6 - 11.1,6.8-9.1,
62,"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3.3,42,"Jan 26 - Feb 7, 2022",2022-02-07,2022-02-07,7.5,5.3,10.1,5.3 - 10.1,6.8-9.1,
63,"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3.4,43,"Mar 2 - Mar 14, 2022",2022-03-14,2022-03-14,11.8,8.9,15.3,8.9 - 15.3,11.1-12.9,
64,"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3.4,44,"Mar 30 - Apr 11, 2022",2022-04-11,2022-04-11,12.8,9.1,17.4,9.1 - 17.4,11.3-12.8,
65,"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3.4,45,"Apr 27 - May 9, 2022",2022-05-09,2022-05-09,9.4,6.1,13.8,6.1 - 13.8,6.4-9.5,
66,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,2,13,"Aug 19 - Aug 31, 2020",2020-08-31,2020-08-31,25.2,21.9,28.6,21.9 - 28.6,23.6-25.3,
67,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,2,14,"Sep 2 - Sep 14, 2020",2020-09-14,2020-09-14,22.7,19.7,25.9,19.7 - 25.9,22.3-24.2,
68,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,2,15,"Sep 16 - Sep 28, 2020",2020-09-28,2020-09-28,27.8,24.2,31.6,24.2 - 31.6,26.0-29.1,
69,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,2,16,"Sep 30 - Oct 12, 2020",2020-10-12,2020-10-12,28.5,25.0,32.3,25.0 - 32.3,25.4-33.5,
70,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,2,17,"Oct 14 - Oct 26, 2020",2020-10-26,2020-10-26,22.8,18.3,28.0,18.3 - 28.0,22.4-24.8,
71,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3 (Oct 28 � Dec 21),18,"Oct 28 - Nov 9, 2020",2020-11-09,2020-11-09,29.1,23.3,35.5,23.3 - 35.5,27.1-33.2,
72,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3 (Oct 28 � Dec 21),19,"Nov 11 - Nov 23, 2020",2020-11-23,2020-11-23,29.0,23.9,34.5,23.9 - 34.5,28.5-33.6,
73,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3 (Oct 28 � Dec 21),20,"Nov 25 - Dec 7, 2020",2020-12-07,2020-12-07,26.3,21.9,31.1,21.9 - 31.1,26.3-28.2,
74,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3 (Oct 28 � Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-21,2020-12-21,27.6,23.0,32.6,23.0 - 32.6,26.8-28.7,
75,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3 (Jan 6 � Mar 29),22,"Jan 6 - Jan 18, 2021",2021-01-18,2021-01-18,24.6,20.2,29.3,20.2 - 29.3,22.9-25.5,
76,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3 (Jan 6 � Mar 29),23,"Jan 20 - Feb 1, 2021",2021-02-01,2021-02-01,28.5,23.5,33.8,23.5 - 33.8,26.2-28.5,
77,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3 (Jan 6 � Mar 29),24,"Feb 3 - Feb 15, 2021",2021-02-15,2021-02-15,22.0,17.5,27.0,17.5 - 27.0,13.9-23.2,
78,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3 (Jan 6 � Mar 29),25,"Feb 17 - Mar 1, 2021",2021-03-01,2021-03-01,25.3,20.4,30.8,20.4 - 30.8,24.2-25.9,
79,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3 (Jan 6 � Mar 29),26,"Mar 3 - Mar 15, 2021",2021-03-15,2021-03-15,25.0,20.5,29.9,20.5 - 29.9,23.5-25.9,
80,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3 (Jan 6 � Mar 29),27,"Mar 17 - Mar 29, 2021",2021-03-29,2021-03-29,26.1,20.7,32.1,20.7 - 32.1,25.4-27.1,
81,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3.1,28,"Apr 14 - Apr 26, 2021",2021-04-26,2021-04-26,24.2,19.6,29.3,19.6 - 29.3,22.8-24.5,
82,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3.1,29,"Apr 28 - May 10, 2021",2021-05-10,2021-05-10,28.1,23.4,33.2,23.4 - 33.2,26.3-28.1,
83,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3.1,30,"May 12 - May 24, 2021",2021-05-24,2021-05-24,24.4,20.0,29.1,20.0 - 29.1,22.6-25.1,
84,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3.1,31,"May 26 - Jun 7, 2021",2021-06-07,2021-06-07,27.0,22.0,32.5,22.0 - 32.5,25.9-28.1,
85,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-21,2021-06-21,24.8,20.0,30.1,20.0 - 30.1,22.9-25.7,
86,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3.1,33,"Jun 23 - Jul 5, 2021",2021-07-05,2021-07-05,28.3,23.1,34.0,23.1 - 34.0,26.4-28.9,
87,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3.2,34,"Jul 21 - Aug 2, 2021",2021-08-02,2021-08-02,29.0,24.5,33.8,24.5 - 33.8,27.4-30.5,
88,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3.2,35,"Aug 4 - Aug 16, 2021",2021-08-16,2021-08-16,28.0,23.7,32.5,23.7 - 32.5,27.7-29.1,
89,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3.2,36,"Aug 18 - Aug 30, 2021",2021-08-30,2021-08-30,33.0,27.9,38.4,27.9 - 38.4,29.6-33.6,
90,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3.2,37,"Sep 1 - Sep 13, 2021",2021-09-13,2021-09-13,27.7,24.1,31.6,24.1 - 31.6,27.4-29.4,
91,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3.2,38,"Sep 15 - Sep 27, 2021",2021-09-27,2021-09-27,28.1,23.4,33.2,23.4 - 33.2,27.8-30.0,
92,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3.2,39,"Sep 29 - Oct 11, 2021",2021-10-11,2021-10-11,32.8,27.6,38.2,27.6 - 38.2,30.5-35.5,
93,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3.3,40,"Dec 1 - Dec 13, 2021",2021-12-13,2021-12-13,26.3,21.5,31.5,21.5 - 31.5,24.0-27.1,
94,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3.3,41,"Dec 29, 2021 - Jan 10, 2022",2022-01-10,2022-01-10,26.7,22.3,31.5,22.3 - 31.5,23.9-27.2,
95,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3.3,42,"Jan 26 - Feb 7, 2022",2022-02-07,2022-02-07,30.1,25.4,35.2,25.4 - 35.2,29.7-39.3,
96,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3.4,43,"Mar 2 - Mar 14, 2022",2022-03-14,2022-03-14,28.9,24.8,33.2,24.8 - 33.2,27.2-29.6,
97,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3.4,44,"Mar 30 - Apr 11, 2022",2022-04-11,2022-04-11,30.7,24.7,37.2,24.7 - 37.2,30.7-35.5,
98,"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3.4,45,"Apr 27 - May 9, 2022",2022-05-09,2022-05-09,28.9,24.1,34.0,24.1 - 34.0,28.0-30.1,
99,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alabama,Alabama,2,13,"Aug 19 - Aug 31, 2020",2020-08-31,2020-08-31,22.3,19.6,25.1,19.6 - 25.1,20.6-22.5,
100,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alabama,Alabama,2,14,"Sep 2 - Sep 14, 2020",2020-09-14,2020-09-14,21.0,17.9,24.3,17.9 - 24.3,18.9-21.2,
101,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alabama,Alabama,2,15,"Sep 16 - Sep 28, 2020",2020-09-28,2020-09-28,25.9,22.5,29.4,22.5 - 29.4,23.0-25.9,
102,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alabama,Alabama,2,16,"Sep 30 - Oct 12, 2020",2020-10-12,2020-10-12,26.7,23.3,30.3,23.3 - 30.3,22.5-32.1,
103,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alabama,Alabama,2,17,"Oct 14 - Oct 26, 2020",2020-10-26,2020-10-26,21.6,17.3,26.4,17.3 - 26.4,21.2-24.1,
104,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alabama,Alabama,3 (Oct 28 � Dec 21),18,"Oct 28 - Nov 9, 2020",2020-11-09,2020-11-09,25.2,20.6,30.4,20.6 - 30.4,23.9-27.6,
105,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alabama,Alabama,3 (Oct 28 � Dec 21),19,"Nov 11 - Nov 23, 2020",2020-11-23,2020-11-23,27.1,22.1,32.6,22.1 - 32.6,25.1-31.4,
106,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alabama,Alabama,3 (Oct 28 � Dec 21),20,"Nov 25 - Dec 7, 2020",2020-12-07,2020-12-07,24.3,20.1,28.8,20.1 - 28.8,23.4-25.0,
107,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alabama,Alabama,3 (Oct 28 � Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-21,2020-12-21,24.8,20.2,29.9,20.2 - 29.9,23.2-25.5,
108,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alabama,Alabama,3 (Jan 6 � Mar 29),22,"Jan 6 - Jan 18, 2021",2021-01-18,2021-01-18,22.8,18.6,27.5,18.6 - 27.5,22.0-24.5,
109,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alabama,Alabama,3 (Jan 6 � Mar 29),23,"Jan 20 - Feb 1, 2021",2021-02-01,2021-02-01,24.8,19.9,30.2,19.9 - 30.2,23.1-24.9,
110,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alabama,Alabama,3 (Jan 6 � Mar 29),24,"Feb 3 - Feb 15, 2021",2021-02-15,2021-02-15,18.9,14.6,23.8,14.6 - 23.8,12.1-19.4,
111,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alabama,Alabama,3 (Jan 6 � Mar 29),25,"Feb 17 - Mar 1, 2021",2021-03-01,2021-03-01,22.9,18.3,28.2,18.3 - 28.2,22.7-24.7,
112,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alabama,Alabama,3 (Jan 6 � Mar 29),26,"Mar 3 - Mar 15, 2021",2021-03-15,2021-03-15,23.2,18.8,28.1,18.8 - 28.1,22.8-23.8,
113,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alabama,Alabama,3 (Jan 6 � Mar 29),27,"Mar 17 - Mar 29, 2021",2021-03-29,2021-03-29,24.4,19.2,30.3,19.2 - 30.3,24.2-28.7,
114,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alabama,Alabama,3.1,28,"Apr 14 - Apr 26, 2021",2021-04-26,2021-04-26,22.1,17.7,27.1,17.7 - 27.1,21.1-23.8,
115,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alabama,Alabama,3.1,29,"Apr 28 - May 10, 2021",2021-05-10,2021-05-10,25.9,21.4,30.9,21.4 - 30.9,24.7-29.7,
